path,level,paragraphs,sentences,words,muletillas_criticas_total,intensificadores_total,parrafos_muralla,oraciones_largas,em_dash_runs_largos,em_dash_pares_excesivos,frases_vetadas,apertura_formulaica,preguntas_retoricas_seguidas,red_cells
content/intro/forja/forja.md,intro/forja,19,55,820,0,1,0,0,0,0,0,0,0,
content/intro/workspace/workspace.md,intro/workspace,22,70,769,0,0,1,0,0,2,0,0,0,parrafos_muralla;em_dash_pares_excesivos
content/theory/L0-setup-laboratorio/chapters/00-introduccion.md,L0-setup-laboratorio,11,45,1071,1,1,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/chapters/01-devcontainer.md,L0-setup-laboratorio,25,98,1832,2,2,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/chapters/02-toolchain.md,L0-setup-laboratorio,21,70,1293,0,4,0,0,0,0,0,0,0,intensificadores_total
content/theory/L0-setup-laboratorio/chapters/03-verify-setup.md,L0-setup-laboratorio,23,69,1448,1,1,0,0,0,0,0,0,0,
content/theory/L0-setup-laboratorio/chapters/04-workflow.md,L0-setup-laboratorio,24,63,1250,2,4,0,1,0,0,0,0,0,intensificadores_total;oraciones_largas
content/theory/L0-setup-laboratorio/chapters/05-diagnostico.md,L0-setup-laboratorio,35,97,1910,1,2,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/chapters/06-laboratorio-desde-docker.md,L0-setup-laboratorio,36,102,1902,0,3,0,1,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/exercises/01-quien-declara-que.md,L0-setup-laboratorio,7,20,342,0,0,0,2,0,0,0,0,0,oraciones_largas
content/theory/L0-setup-laboratorio/exercises/02-disponibilidad-toolchain.md,L0-setup-laboratorio,8,15,300,0,0,0,0,0,0,0,0,0,
content/theory/L0-setup-laboratorio/exercises/03-leer-verify-setup.md,L0-setup-laboratorio,7,23,357,0,0,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L0-setup-laboratorio/exercises/04-check-fallando.md,L0-setup-laboratorio,8,35,424,0,2,1,0,0,0,0,0,0,parrafos_muralla
content/theory/L0-setup-laboratorio/exercises/05-sanity-check-manual.md,L0-setup-laboratorio,7,20,331,0,0,0,0,0,0,0,0,0,
